3;16.05.2017;tirsdag;18:00;Austrått 1;-;Klepp 1;;J11 Nivå 2 avd 03;11211203010
5;16.05.2017;tirsdag;18:00;Austrått 2;-;Hinna 4;;G12 Nivå 2 avd 05;11112205025
5;16.05.2017;tirsdag;18:00;Orstad 1;-;Austrått 3;;G12 Nivå 3 avd 02;11112302022
5;16.05.2017;tirsdag;18:45;Austrått 2;8 - 0;Hellvik 1;;G16 7er avd 01;11116701025
3;17.05.2017;onsdag;18:00;Austrått 1;-;Riska 1;;G10 Nivå 2 avd 08;11110208010
3;17.05.2017;onsdag;18:00;Austrått 1;-;Ganddal 4;;G08 avd 13;11108113011
3;17.05.2017;onsdag;18:00;Forsand 1;-;Austrått 2;;G08 avd 14;11108114010
3;17.05.2017;onsdag;18:00;Bogafjell 2;-;Austrått 3;;G08 avd 15;11108115010
3;17.05.2017;onsdag;18:00;Austrått 4;-;Dirdal 1;;G09 avd 15;11109115012
3;17.05.2017;onsdag;18:00;Austrått 1;-;Lura 2;;G09 avd 17;11109117012
5;17.05.2017;onsdag;18:00;Austrått 3;-;Forsand 1;;G10 Nivå 3 avd 02;11110302021
3;17.05.2017;onsdag;18:00;Austrått 1;-;Sandnes Ulf 1;;J07 avd 06;11207106009
3;17.05.2017;onsdag;18:00;Nærbø 4;-;Austrått 2;;J07 avd 09;11207109011
3;17.05.2017;onsdag;18:00;Austrått 1;-;Høle 1;;J08 avd 05;11208105009
3;17.05.2017;onsdag;18:00;Austrått 5;-;Ålgård 2;;G07 avd 14;11107114010
3;17.05.2017;onsdag;18:00;Hana 2;-;Austrått 3;;G07 avd 16;11107116012
3;17.05.2017;onsdag;18:00;Austrått 4;-;Sandnes Ulf 1;;G08 avd 16;11108116011
2;17.05.2017;onsdag;18:00;Ganddal 1;-;Austrått 2;;J06 avd 01;11206101004
2;17.05.2017;onsdag;18:00;Austrått 1;-;Ganddal 2;;J06 avd 02;11206102004
5;17.05.2017;onsdag;18:00;Hana 3;-;Austrått 2;;G10 Nivå 2 avd 09;11110209021
3;17.05.2017;onsdag;18:00;Austrått 2;-;Ålgård 1;;G07 avd 15;11107115010
3;18.05.2017;torsdag;18:00;Ganddal 3;-;Austrått 3;;G09 avd 16;11109116009
7;19.05.2017;fredag;19:00;Austrått;2 - 3;Skjold;Iglemyr gras;M 4 div 2017 avdeling 02;11120402043
5;21.05.2017;søndag;17:30;Austrått 1;4 - 1;Viking 2;Iglemyr kunstgressbane;G16 1. div avd 01;11116101023
4;21.05.2017;søndag;19:00;Austrått /Ganddal 1;2 - 5;Eiger 1;Iglemyr kunstgressbane;J16 1. div avd 01 Vårserie;11216101014
3;22.05.2017;mandag;17:00;Riska 1;5 - 1;Austrått 1;KAPH-banen Riska stadion;G14 2. div avd 03;11114203012
6;22.05.2017;mandag;19:00;Austrått 2;3 - 1;Sandved;Iglemyr gras;M 5 div 2017 avdeling 02;11120502027
5;22.05.2017;mandag;20:00;Austrått 2;4 - 5;Nærbø 1;Iglemyr kunstgressbane;G19 2. div avd 02;11119202023
6;23.05.2017;tirsdag;17:30;Riska 1;-;Austrått 1;;G11 Nivå 2 avd 08;11111208028
4;23.05.2017;tirsdag;18:00;Bjerkreim 1;-;Austrått 1;;J11 Nivå 2 avd 03;11211203014
6;23.05.2017;tirsdag;18:00;Ålgård 4;-;Austrått 2;;G12 Nivå 2 avd 05;11112205030
6;23.05.2017;tirsdag;18:00;Austrått 1;-;Voll 1;;G12 Nivå 2 avd 06;11112206026
6;23.05.2017;tirsdag;18:00;Austrått 2;-;Riska 1;;J12 Nivå 2 avd 04;11212204027
6;23.05.2017;tirsdag;18:00;Austrått 3;-;Frøyland 2;;G12 Nivå 3 avd 02;11112302026
6;23.05.2017;tirsdag;18:00;Austrått 3;-;Egersunds 1;;J12 Nivå 2 avd 05;11212205027
4;23.05.2017;tirsdag;18:00;Hana 2;-;Austrått 2;;G11 Nivå 2 avd 07;11111207014
4;23.05.2017;tirsdag;18:00;Austrått 2;-;Ålgård 1;;J11 Nivå 3 avd 03;11211303010
6;23.05.2017;tirsdag;18:00;Madla 1;-;Austrått 1;;J12 Nivå 2 avd 02;11212202028
3;23.05.2017;tirsdag;18:15;Sandnes Ulf 4;-;Austrått 4;;G06 avd 10;11106110007
6;23.05.2017;tirsdag;18:30;Tonstad 1;0 - 6;Austrått /Hana 1;Tonstad stadion mini A;J13 2. div avd 02 Vårserie;11213202023
6;23.05.2017;tirsdag;19:00;Ålgård 3;5 - 2;Austrått 2;;G16 7er avd 01;11116701030
5;23.05.2017;tirsdag;20:00;Austrått 3;1 - 5;Hinna 2;Iglemyr kunstgressbane;M 7 div 2017 avdeling 02;11120702021
10;23.05.2017;tirsdag;20:00;Vardeneset 1;3 - 3;Austrått 1;Vardeneset kunstgress 2 - Helgø Meny banen;G15 1. div avd 01;11115101068
4;24.05.2017;onsdag;17:00;Riska 1;-;Austrått 1;;G09 avd 17;11109117016
4;24.05.2017;onsdag;17:00;Lura 1;-;Austrått 1;;G08 avd 13;11108113013
4;24.05.2017;onsdag;17:00;Frøyland 1;-;Austrått 1;;J08 avd 05;11208105015
4;24.05.2017;onsdag;18:00;Bogafjell 2;-;Austrått 1;;J07 avd 06;11207106015
4;24.05.2017;onsdag;18:00;Austrått 2;-;Frøyland 2;;J08 avd 06;11208106015
4;24.05.2017;onsdag;18:00;Austrått 1;-;Frøyland 1;;J09 avd 06;11209106014
4;24.05.2017;onsdag;18:00;Austrått 4;-;Høle 1;;G07 avd 13;11107113013
4;24.05.2017;onsdag;18:00;Hana 3;-;Austrått 2;;G07 avd 15;11107115014
4;24.05.2017;onsdag;18:00;Austrått 5;-;Lura 2;;G08 avd 17;11108117014
4;24.05.2017;onsdag;18:00;Austrått 2;-;Lura 4;;G09 avd 14;11109114014
4;24.05.2017;onsdag;18:00;Bogafjell 1;-;Austrått 4;;G09 avd 15;11109115016
4;24.05.2017;onsdag;18:00;Austrått 3;-;Ålgård 5;;G09 avd 16;11109116014
6;24.05.2017;onsdag;18:00;Klebe 1;-;Austrått 3;;G10 Nivå 3 avd 02;11110302028
3;24.05.2017;onsdag;18:00;Austrått 1;-;Voll 1;;G06 avd 09;11106109008
4;24.05.2017;onsdag;18:00;Austrått 2;-;Bogafjell 1;;J07 avd 09;11207109015
3;24.05.2017;onsdag;18:00;Voll 2;-;Austrått 2;;G06 avd 08;11106108007
6;24.05.2017;onsdag;18:00;Austrått 2;-;Bogafjell 2;;G10 Nivå 2 avd 09;11110209027
4;24.05.2017;onsdag;18:00;Bogafjell 2;-;Austrått 5;;G07 avd 14;11107114014
4;24.05.2017;onsdag;18:00;Austrått 3;-;Ganddal 1;;G07 avd 16;11107116013
4;24.05.2017;onsdag;18:00;Bogafjell 5;-;Austrått 4;;G08 avd 16;11108116013
3;24.05.2017;onsdag;18:00;Austrått 2;-;Forus og Gausel 1;;J06 avd 01;11206101007
3;24.05.2017;onsdag;18:00;Ganddal 2;-;Austrått 3;;G06 avd 06;11106106007
4;24.05.2017;onsdag;19:00;Hinna 7;-;Austrått 1;;G10 Nivå 2 avd 08;11110208014
11;24.05.2017;onsdag;20:00;Austrått 1;1 - 1;Vidar 1;Iglemyr gras;G19 1. div avd 01;11119101071
1;28.05.2017;søndag;18:00;Brodd 2;4 - 5;Austrått 1;NSE-banen Midjord kunstgras;OBOS cupen G16;11116121001
4;29.05.2017;mandag;18:30;Austrått 1;1 - 5;Lura 1;Iglemyr kunstgressbane;G14 2. div avd 03;11114203013
7;30.05.2017;tirsdag;18:00;Austrått 1;-;Lura 1;;J12 Nivå 2 avd 02;11212202031
7;30.05.2017;tirsdag;18:00;Klepp 1;-;Austrått 2;;J12 Nivå 2 avd 04;11212204033
7;30.05.2017;tirsdag;18:00;Austrått 1;-;Sandnes Ulf 5;;G11 Nivå 2 avd 08;11111208031
5;30.05.2017;tirsdag;18:00;Austrått 1;-;Rosseland 3;;J11 Nivå 2 avd 03;11211203018
7;30.05.2017;tirsdag;18:00;Austrått 2;-;Klepp 5;;G12 Nivå 2 avd 05;11112205035
5;30.05.2017;tirsdag;18:00;Austrått 2;-;Lura 1;;G11 Nivå 2 avd 07;11111207018
5;30.05.2017;tirsdag;18:00;Moi 1 5er;-;Austrått 2;;J11 Nivå 3 avd 03;11211303013
7;30.05.2017;tirsdag;18:00;Kvitsøy 1;-;Austrått 3;;G12 Nivå 3 avd 02;11112302034
7;30.05.2017;tirsdag;18:30;Austrått /Hana 1;1 - 2;Orre 1;Iglemyr kunstgressbane;J13 2. div avd 02 Vårserie;11213202025
8;30.05.2017;tirsdag;19:00;Vard Haugesund 2;4 - 1;Austrått;Gymnasbane 5;M 4 div 2017 avdeling 02;11120402053
6;30.05.2017;tirsdag;20:00;Sola 1;3 - 4;Austrått 1;Sola 2;G16 1. div avd 01;11116101026
5;31.05.2017;onsdag;17:00;Sandved 1;-;Austrått 2;;J08 avd 06;11208106018
5;31.05.2017;onsdag;17:00;Orstad 2;-;Austrått 1;;G07 avd 17;11107117019
5;31.05.2017;onsdag;17:00;Hana 2;-;Austrått 1;;G08 avd 13;11108113020
5;31.05.2017;onsdag;17:00;Hana 1;-;Austrått 2;;G08 avd 14;11108114019
5;31.05.2017;onsdag;17:00;Ålgård 2;-;Austrått 2;;J07 avd 09;11207109018
5;31.05.2017;onsdag;17:00;Ålgård 5;-;Austrått 3;;G07 avd 16;11107116017
5;31.05.2017;onsdag;17:00;Austrått 1;-;Bogafjell 3;;G09 avd 17;11109117020
5;31.05.2017;onsdag;18:00;Austrått 1;-;Sandved 2;;J08 avd 05;11208105017
5;31.05.2017;onsdag;18:00;Austrått 1;-;Sola 2;;G10 Nivå 2 avd 08;11110208018
